"City Council District","Agency","Site","Address","Borough","Environmental Justice Area","Installation Date","Installed or Estimated Capacity","Percentage of Max Peak Demand","Estimated Annual Production","Percentage of Annual Electricity Consumption","Estimated Annual Emissions Reduction","Estimated Social Cost of Carbon Value","Estimated Annual Energy Savings","Upfront Project Cost","Financing Mechanism","Status","Solar-Readiness Assessment","Total Gross Square Footage","Roof Condition","Roof Age","Other Sustaibility Projects","Year of Report","Data Current as of","Postcode","Latitude","Longitude","Community Board","Census Tract","BIN","BBL","NTA"
"2","DOE","M064","600 East 6th St","Manhattan","Yes",,"131.04","39.20%","144144","0.204703476","42 MT CO2","$5,916","$21,622",,"PPA","In Progress",,,,,,"2022","07/07/2022","10009","40.724435","-73.981521","103","2601","1004627","1003870001","Lower East Side"
"3","DOE","M625","439 W. 49 St","Manhattan","No",,"161.9","18.90%","178090","0.119491412","51 MT CO2","$7,309","$26,714",,"PPA","In Progress",,,,,,"2022","07/07/2022","10019","40.76337","-73.9906","104","127","1026646","1010590015","Clinton"
"4","DOE","M167","220 East 76th St","Manhattan","No",,"258.4","64.60%","284240","0.481762712","82 MT CO2","$11,665","$42,636",,"PPA","In Progress",,,,,,"2022","07/07/2022","10021","40.77205","-73.958066","108","134","1044058","1014300005","Lenox Hill-Roosevelt Island"
"5","DOE","M158","1458 York Ave","Manhattan","No",,"125.1","41.00%","137610","0.229963235","40 MT CO2","$5,648","$20,642",,"PPA","In Progress",,,,,,"2022","07/07/2022","10075","40.770419","-73.951135","108","132","1046411","1014890001","Lenox Hill-Roosevelt Island"
"5","FDNY","Special Operations Command","750 Main St","Manhattan","Yes",,"27","32.60%","29700","0.116488861","9 MT CO2","$1,219","$4,455",,"Capital","In Progress",,,,,,"2022","07/07/2022","10044","40.766648","-73.945423","108","23802","1083213","1013730001","Lenox Hill-Roosevelt Island"
"7","DOE","M028","475 West 155th St","Manhattan","Yes",,"210.6","80.70%","231660","0.493103448","67 MT CO2","$9,507","$34,749",,"PPA","In Progress",,,,,,"2022","07/07/2022","10032","40.831227","-73.942143","112","239","1076739","1021070026","Washington Heights South"
"8","DEP","NYPA PPA 8 Locations","Wards Island WPCP","Manhattan","Yes",,"7267","0.00%","7993700",,"2,310 MT CO2","$328,063","$1,199,055",,"PPA","In Progress",,,,,,"2022","07/07/2022","10035","40.792785","-73.922866","111","240","1000000","1018190015","park-cemetery-etc-Manhattan"
"8","DOE","M206","508 East 120th St","Manhattan","Yes",,"239.36","60.60%","263296","0.397487923","76 MT CO2","$10,806","$39,494",,,"In Progress",,,,,,"2022","07/07/2022","10035","40.797467","-73.930868","111","192","1084005","1018160001","East Harlem North"
"8","DOE","X018","502 Morris Ave","Bronx","Yes",,"166.32","83.10%","182952",,"53 MT CO2","$7,508","$27,443",,,"In Progress",,,,,,"2022","07/07/2022","10451","40.816406","-73.92329","201","51","2000816","2023240008","Mott Haven-Port Morris"
"8","DOE","X139","345 Brook Ave","Bronx","Yes",,"339.57","86.60%","373527","0.494292558","108 MT CO2","$15,330","$56,029",,,"In Progress",,,,,,"2022","07/07/2022","10454","40.81004","-73.917792","201","41","2000391","2022860036","Mott Haven-Port Morris"
"8","DOE","X655","455 Southern Blvd","Bronx","Yes",,"115.5","22.30%","127050","0.129115854","37 MT CO2","$5,214","$19,058",,,"In Progress",,,,,,"2022","07/07/2022","10455","40.810803","-73.907015","201","35","2003883","2025760026","Mott Haven-Port Morris"
"9","DOE","M079","55 East 120 St","Manhattan","Yes",,"149.1","55.10%","164010","0.353317536","47 MT CO2","$6,731","$24,602",,,"In Progress",,,,,,"2022","07/07/2022","10035","40.802419","-73.942634","111","198","1053968","1017470001","East Harlem North"
"9","DOE","M092","222 West 134th St","Manhattan","Yes",,"186.42","63.20%","205062","0.36921498","59 MT CO2","$8,416","$30,759",,,"In Progress",,,,,,"2022","07/07/2022","10030","40.815016","-73.945123","110","226","1058808","1019390011","Central Harlem North-Polo Grounds"
"9","DOE","M123","301 West 140 St","Manhattan","Yes",,"144","41.60%","158400","0.289473684","46 MT CO2","$6,501","$23,760",,,"In Progress",,,,,,"2022","07/07/2022","10030","40.819767","-73.944433","110","22102","1060726","1020420035","Central Harlem North-Polo Grounds"
"9","DOE","M144","134 West 122nd St","Manhattan","Yes",,"268.32","132.90%","295152","0.617369478","85 MT CO2","$12,113","$44,273",,,"In Progress",,,,,,"2022","07/07/2022","10027","40.8063","-73.948013","110","220","1057683","1019060011","Central Harlem South"
"9","DOE","M197","2230 5th Ave","Manhattan","No",,"85.4","38.90%","93940","0.194412252","27 MT CO2","$3,855","$14,091",,,"In Progress",,,,,,"2022","07/07/2022","10037","40.813184","-73.937322","110","212","1076433","1017330017","Central Harlem North-Polo Grounds"
"9","DOE","M208","20 West 112 St","Manhattan","Yes",,"202.2","62.80%","222420","0.388303073","64 MT CO2","$9,128","$33,363",,,"In Progress",,,,,,"2022","07/07/2022","10026","40.798511","-73.949251","110","186","1051410","1015950015","Central Harlem South"
"9","DOE","M501","2005 Madison Ave","Manhattan","Yes",,"394.68","89.90%","434148","0.283831067","125 MT CO2","$17,818","$65,122",,,"In Progress",,,,,,"2022","07/07/2022","10035","40.807383","-73.939433","111","206","1054156","1017520022","Central Harlem North-Polo Grounds"
"10","DOE","M128","560 West 169 St","Manhattan","Yes",,"105.9","38.10%","116490","0.163242713","34 MT CO2","$4,781","$17,474",,,"In Progress",,,,,,"2022","07/07/2022","10032","40.841359","-73.938593","112","251","1062994","1021250001","Washington Heights South"
"10","DOE","M143","511 West 182 St","Manhattan","Yes",,"212.94","75.30%","234234","0.394333333","68 MT CO2","$9,613","$35,135",,,"In Progress",,,,,,"2022","07/07/2022","10033","40.848908","-73.930948","112","269","1063703","1021550035","Washington Heights North"
"10","DOT","Harlem River Bridge Shop","300 West 206th St","Manhattan","Yes",,"70.2","57.60%","77220","0.225262544","22 MT CO2","$3,169","$11,583",,,"In Progress",,,,,,"2022","07/07/2022","10034","40.862564","-73.916487","112","299","1081892","1021860009","Marble Hill-Inwood"
"11","DOE","X007","3201 Kingsbridge Ave","Bronx","Yes",,"105.57","43.50%","116127","0.282960526","34 MT CO2","$4,766","$17,419",,,"In Progress",,,,,,"2022","07/07/2022","10463","40.881066","-73.905366","208","287","2083564","2057560195","Spuyten Duyvil-Kingsbridge"
"11","DOE","X024","660 West 236th St","Bronx","No",,"219.07","108.20%","240977","0.512281037","70 MT CO2","$9,890","$36,147",,,"In Progress",,,,,,"2022","07/07/2022","10463","40.887111","-73.913697","208","309","2085869","2059170140","North Riverdale-Fieldston-Riverdale"
"11","DOE","X095","3961 Hillman Ave","Bronx","Yes",,"181.34","31.00%","199474","0.152689835","58 MT CO2","$8,186","$29,921",,,"In Progress",,,,,,"2022","07/07/2022","10463","40.882898","-73.891256","208","281","2015472","2032520182","Van Cortlandt Village"
"11","DOE","X445 - Second System","75 West 205th St","Bronx","No",,"205.4","24.30%","225940","0.18034802","65 MT CO2","$9,273","$33,891",,,"In Progress",,,,,,"2022","07/07/2022","10468","40.87759","-73.89104","207","409","2094706","2032510201","Van Cortlandt Village"
"12","DOE","X021","715 East 225 St","Bronx","Yes",,"98.9","61.80%","108790","0.338783009","31 MT CO2","$4,465","$16,319",,,"In Progress",,,,,,"2022","07/07/2022","10466","40.887582","-73.859733","212","406","2063435","2048390039","Williamsbridge-Olinville"
"12","DOE","X181","650-850 Baychester Ave","Bronx","No",,"272.97","5.60%","300267","0.024321783","87 MT CO2","$12,323","$45,040",,,"In Progress",,,,,,"2022","07/07/2022","10475","40.872614","-73.833698","210","46201","2097470","2051410150","Co-op City"
"13","DOE","X072","2951 Dewey Ave","Bronx","No",,"143.3","37.40%","157630","0.237824381","46 MT CO2","$6,469","$23,645",,,"In Progress",,,,,,"2022","07/07/2022","10465","40.822604","-73.818247","210","158","2077162","2054400001","Schuylerville-Throgs Neck-Edgewater Park"
"13","DOE","X121","2750 Throop Ave","Bronx","Yes",,"100.2","28.40%","110220","0.248781148","32 MT CO2","$4,523","$16,533",,,"In Progress",,,,,,"2022","07/07/2022","10469","40.86608","-73.850982","211","348","2054253","2045260001","Allerton-Pelham Gardens"
"13","DOE","X135","2441 Wallace Ave","Bronx","Yes",,"209.44","67.50%","230384","0.341046897","67 MT CO2","$9,455","$34,558",,,"In Progress",,,,,,"2022","07/07/2022","10467","40.862109","-73.864577","211","330","2051313","2044320001","Bronxdale"
"13","DOE","X415","925 Astor Ave","Bronx","Yes",,"249.48","38.60%","274428","0.174395018","79 MT CO2","$11,263","$41,164",,,"In Progress",,,,,,"2022","07/07/2022","10469","40.859665","-73.861006","211","324","2050179","2043580001","Bronxdale"
"13","DOT","DOT Bronx Borough Commissioners Office","1400 Willamsbridge Rd","Bronx","Yes",,"37.2","50.30%","40920","0.194634703","12 MT CO2","$1,679","$6,138",,,"In Progress",,,,,,"2022","07/07/2022",,,,,,,,
"14","DOE","X026","1930 Andrews Ave","Bronx","Yes",,"205.92","45.90%","226512","0.225609562","65 MT CO2","$9,296","$33,977",,,"In Progress",,,,,,"2022","07/07/2022","10453","40.854701","-73.913197","205","24502","2014692","2032160002","University Heights-Morris Heights"
"14","DOE","X117","1865 Morris Ave","Bronx","Yes",,"146.3","47.60%","160930","0.228984064","47 MT CO2","$6,605","$24,140",,,"In Progress",,,,,,"2022","07/07/2022","10453","40.848547","-73.908416","205","23301","2007902","2028270001","Mount Hope"
"14","DOE","X143","120 West 231 St","Bronx","Yes",,"219.7","81.90%","241670","0.319162705","70 MT CO2","$9,918","$36,251",,,"In Progress",,,,,,"2022","07/07/2022","10463","40.875916","-73.90111","208","273","2015547","2032530141","Van Cortlandt Village"
"16","DOE","X002","1365 Fulton Ave","Bronx","Yes",,"129.4","48.20%","142340","0.471324503","41 MT CO2","$5,842","$21,351",,,"In Progress",,,,,,"2022","07/07/2022","10456","40.833696","-73.902477","203","14701","2009617","2029250056","Claremont-Bathgate"
"16","DOE","X090","1116 Sheridan Ave","Bronx","Yes",,"167.09","50.40%","183799","0.303699603","53 MT CO2","$7,543","$27,570",,,"In Progress",,,,,,"2022","07/07/2022","10456","40.831992","-73.91796","204","18102","2002745","2024560100","East Concourse-Concourse Village"
"16","DOE","X136","750 Jennings St","Bronx","Yes",,"293","62.90%","322300","0.440060076","93 MT CO2","$13,227","$48,345",,,"In Progress",,,,,,"2022","07/07/2022","10459","40.83182","-73.898075","203","151","2010344","2029690001","Morrisania-Melrose"
"16","DOE","X147","1600 Webster Ave","Bronx","Yes",,"212.2","47.30%","233420","0.216450297","67 MT CO2","$9,580","$35,013",,,"In Progress",,,,,,"2022","07/07/2022","10457","40.840878","-73.904754","203","167","2009400","2028970005","Claremont-Bathgate"
"16","DOE","X166","250 East 164th St","Bronx","Yes",,"192.5","42.00%","211750","0.219293703","61 MT CO2","$8,690","$31,763",,,"In Progress",,,,,,"2022","07/07/2022","10456","40.828696","-73.917668","204","18302","2002497","2024460043","East Concourse-Concourse Village"
"17","CUNY","Hostos Community College: C Building / East Academic Complex","�475 Grand Concourse","Bronx","Yes",,"244.8","28.20%","269280","0.086819706","78 MT CO2","$11,051","$40,392",,,"In Progress",,,,,,"2022","07/07/2022","10451","40.817954","-73.927599","201","63","2001038","2023460029","West Concourse"
"17","DOE","X052","681 Kelly St","Bronx","Yes",,"161.32","52.50%","177452","0.259584552","51 MT CO2","$7,283","$26,618",,,"In Progress",,,,,,"2022","07/07/2022","10455","40.815429","-73.902139","202","83","2005133","2026860020","Longwood"
"17","DOE","X066","1001 Jennings St","Bronx","Yes",,"115.12","47.20%","126632","0.241295732","37 MT CO2","$5,197","$18,995",,,"In Progress",,,,,,"2022","07/07/2022","10460","40.831165","-73.887094","203","157","2010916","2030080001","Crotona Park East"
"17","DOE","X092","700 East 179th St","Bronx","Yes",,"153.18","77.90%","168498","0.471191275","49 MT CO2","$6,915","$25,275",,,"In Progress",,,,,,"2022","07/07/2022","10457","40.846711","-73.889815","206","371","2012620","2030920014","East Tremont"
"17","DOE","X093","1535 Story Ave","Bronx","Yes",,"121.28","53.70%","133408","0.279517264","39 MT CO2","$5,475","$20,011",,,"In Progress",,,,,,"2022","07/07/2022","10473","40.821776","-73.876918","209","28","2097341","2036520001","Soundview-Castle Hill-Clason Point-Harding Park"
"17","DOE","X130","750 Prospect Ave","Bronx","Yes",,"179.1","122.40%","197010","0.592261905","57 MT CO2","$8,085","$29,552",,,"In Progress",,,,,,"2022","07/07/2022","10455","40.817721","-73.902421","202","85","2005168","2026880001","Longwood"
"17","DOE","X134","1330 Bristow St","Bronx","Yes",,"265.98","151.50%","292578","0.673212149","85 MT CO2","$12,007","$43,887",,,"In Progress",,,,,,"2022","07/07/2022","10459","40.831194","-73.894773","203","153","2010273","2029650082","Crotona Park East"
"17","DOE","X140","916 Eagle Ave","Bronx","Yes",,"140.91","86.00%","155001","0.388746489","45 MT CO2","$6,361","$23,250",,,"In Progress",,,,,,"2022","07/07/2022","10456","40.823289","-73.907948","203","185","2004469","2026270009","Morrisania-Melrose"
"17","DOE","X790","730 Concourse Village West","Bronx","No",,"104.7","6.00%","115170","0.021858867","33 MT CO2","$4,727","$17,276",,,"In Progress",,,,,,"2022","07/07/2022","10451","40.82231","-73.923829","204","61","2103486","2024430078","East Concourse-Concourse Village"
"18","DOE","X100","800 Taylor Ave","Bronx","Yes",,"134.9","72.80%","148390","0.485887361","43 MT CO2","$6,090","$22,259",,,"In Progress",,,,,,"2022","07/07/2022","10473","40.821409","-73.862976","209","42","2022550","2036410001","Soundview-Castle Hill-Clason Point-Harding Park"
"18","DOE","X125","1111 Pugsley Ave","Bronx","Yes",,"271.44","80.60%","298584","0.532045617","86 MT CO2","$12,254","$44,788",,,"In Progress",,,,,,"2022","07/07/2022","10472","40.829232","-73.856734","209","4001","2025717","2037900040","Soundview-Bruckner"
"18","DOE","X450","1980 Lafayette Ave","Bronx","Yes",,"704.3","97.50%","774730","0.432037698","224 MT CO2","$31,795","$116,210",,,"In Progress",,,,,,"2022","07/07/2022","10473","40.82229","-73.856167","209","16","2022205","2036040039","Soundview-Castle Hill-Clason Point-Harding Park"
"19","DOE","Q021","147-36 26th Ave","Queens","Yes",,"124.2","32.60%","136620","0.186232279","39 MT CO2","$5,607","$20,493",,,"In Progress",,,,,,"2022","07/07/2022","11354","40.774512","-73.819284","407","1047","4108665","4048030001","Murray Hill"
"19","DOE","Q025","34-65 192nd St","Queens","Yes",,"213.21","37.40%","234531","0.286572581","68 MT CO2","$9,625","$35,180",,,"In Progress",,,,,,"2022","07/07/2022","11358","40.765133","-73.790083","411","1139","4119139","4052610001","Auburndale"
"19","DOE","Q079","15-28 149 St","Queens","No",,"122.43","38.00%","134673","0.24503821","39 MT CO2","$5,527","$20,201",,,"In Progress",,,,,,"2022","07/07/2022","11357","40.786","-73.816346","407","1039","4105232","4046470001","Whitestone"
"19","DOE","Q130","200-01 42 Ave","Queens","No",,"115.12","37.50%","126632","0.456957275","37 MT CO2","$5,197","$18,995",,,"In Progress",,,,,,"2022","07/07/2022","11361","40.759517","-73.784029","411","1463","4137034","4062030001","Bayside-Bayside Hills"
"19","DOE","Q184","163-15 21 Rd","Queens","No",,"140.2","99.10%","154220","0.569077491","45 MT CO2","$6,329","$23,133",,,"In Progress",,,,,,"2022","07/07/2022","11357","40.778095","-73.800163","407","1017","4129072","4057560001","Ft. Totten-Bay Terrace-Clearview"
"19","DOE","Q185","147-26 25 Dr","Queens","Yes",,"242.9","70.10%","267190","0.452333107","77 MT CO2","$10,966","$40,079",,,"In Progress",,,,,,"2022","07/07/2022","11354","40.775253","-73.819347","407","1047","4108664","4048020001","Murray Hill"
"21","DOE","Q227","32-02 Junction Blvd","Queens","Yes",,"225.6","35.90%","248160","0.254262295","72 MT CO2","$10,185","$37,224",,,"In Progress",,,,,,"2022","07/07/2022","11369","40.758408","-73.874472","403","353","4034891","4014230001","East Elmhurst"
"22","DOE","Q010","45-11 31st Ave","Queens","No",,"108.33","38.30%","119163","0.239475482","34 MT CO2","$4,890","$17,874",,,"In Progress",,,,,,"2022","07/07/2022","11103","40.759363","-73.912902","401","151","4012664","4007140001","Astoria"
"22","DOE","Q141","37-11 21st Ave","Queens","No",,"120.75","56.30%","132825","0.345538502","38 MT CO2","$5,451","$19,924",,,"In Progress",,,,,,"2022","07/07/2022","11105","40.775589","-73.90509","401","12301","4016102","4008100001","Steinway"
"22","DOE","Q151","50-05 31 Ave","Queens","No",,"102.8","55.50%","113080","0.362250128","33 MT CO2","$4,641","$16,962",,,"In Progress",,,,,,"2022","07/07/2022","11377","40.757499","-73.908898","401","163","4014094","4007520001","Astoria"
"23","DOE","Q033","91-37 222 St","Queens","Yes",,"106.26","42.70%","116886","0.151957878","34 MT CO2","$4,797","$17,533",,,"In Progress",,,,,,"2022","07/07/2022","11428","40.727134","-73.735077","413","560","4230589","4107560001","Queens Village"
"23","DOE","Q046","64-45 218th St","Queens","Yes",,"124.2","59.20%","136620","0.392586207","39 MT CO2","$5,607","$20,493",,,"In Progress",,,,,,"2022","07/07/2022","11364","40.746202","-73.758752","411","1367","4162449","4076190001","Oakland Gardens"
"23","DOE","Q115","80-51 261 St","Queens","No",,"184.03","86.50%","202433","0.454456268","59 MT CO2","$8,308","$30,365",,,"In Progress",,,,,,"2022","07/07/2022","11004","40.744099","-73.709845","413","157902","4178127","4087170001","Glen Oaks-Floral Park-New Hyde Park"
"23","DOE","Q205","75-25 Bell Blvd","Queens","No",,"154","77.00%","169400","0.318516847","49 MT CO2","$6,952","$25,410",,,"In Progress",,,,,,"2022","07/07/2022","11364","40.737678","-73.756791","411","129103","4164007","4077530001","Oakland Gardens"
"23","DOE","Q213","231-02 67 Ave","Queens","Yes",,"179.7","116.60%","197670","0.610695749","57 MT CO2","$8,112","$29,651",,,"In Progress",,,,,,"2022","07/07/2022","11364","40.747747","-73.745747","411","1377","4163698","4076770001","Oakland Gardens"
"23","DOE","Q435","230-17 Hillside Ave","Queens","Yes",,"400.02","64.10%","440022","0.402316864","127 MT CO2","$18,059","$66,003",,,"In Progress",,,,,,"2022","07/07/2022","11427","40.733066","-73.738756","413","1301","4166101","4079300002","Bellerose"
